ID,StudentFirstName,StudentLastName,ParentLastName,ParentEmail,DateOfBirth
1,John,Doe,Doe,john@doe.com,15.01.2005
2,Jane,Smith,,,20.02.2006
3,Alice,Johnson,,,10.03.2005
4,Michael,Brown,,,18.04.2007
5,Emily,Davis,,,25.05.2006
6,Daniel,Miller,,,30.06.2005
7,Sarah,Wilson,,,12.07.2006
8,David,Moore,,,19.08.2005
9,Laura,Taylor,,,22.09.2006
10,Robert,Anderson,,,27.10.2005
11,Linda,Thomas,,,30.11.2006
12,Charles,Jackson,,,05.12.2005
13,Susan,White,,,14.01.2006
14,James,Harris,,,17.02.2005
15,Patricia,Martin,,,21.03.2006
16,Joseph,Thompson,,,29.04.2005
17,Barbara,Garcia,,,06.05.2006
18,Richard,Martinez,,,11.06.2005
19,Mary,Robinson,,,13.07.2006
20,William,Clark,,,21.08.2005
21,Elizabeth,Rodriguez,,,23.09.2006
22,Steven,Lewis,,,26.10.2005
23,Jennifer,Lee,,,29.11.2006
24,Kevin,Walker,,,15.12.2005
25,Sandra,Hall,,,19.01.2006
26,Brian,Allen,,,23.02.2005
27,Carol,Young,,,31.03.2006
28,George,Hernandez,,,15.04.2005
29,Karen,King,,,22.05.2006
30,Lisa,Wright,,,25.06.2005
